ID_Sujeto,Origen_Form,expectativa_sin,expectativa_grande,expectativa_pequeña,ndc_1,ndc_2,ndc_3,ndc_4,ndc_5,ndc_6,sdo_1,sdo_2,sdo_3,sdo_4,sdo_5,sdo_6,sdo_7,sdo_8,sdo_9,sdo_10,Genero,politica,nivel_se
Suj_029,Respuestas de formulario 3,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,5,5,1,1,5,5,3,5,3,1,5,1,5,1,1,1,Mujer,7,5
Suj_030,Respuestas de formulario 3,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,5,3,4,3,5,4,1,5,1,4,4,3,2,3,1,5,Hombre,6,3
Suj_031,Respuestas de formulario 3,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,4,4,1,2,4,3,3,2,1,1,1,2,1,5,1,1,Mujer,2,3
Suj_032,Respuestas de formulario 3,La Opción 1 incrementa la probabilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,3,4,3,3,4,4,1,3,1,3,3,5,4,4,2,3,Mujer,6,9
Suj_033,Respuestas de formulario 3,La Opción 1 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,4,3,1,1,4,3,1,5,1,5,1,5,1,5,1,5,Mujer,2,4
Suj_034,Respuestas de formulario 3,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,5,5,1,1,5,5,1,5,1,5,1,5,1,5,1,5,Hombre,2,4
Suj_035,Respuestas de formulario 3,La Opción 1 incrementa la probabilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,1,1,3,1,5,5,1,3,1,5,1,5,4,4,1,5,Mujer,3,2
Suj_036,Respuestas de formulario 3,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,4,5,2,2,5,3,1,4,2,4,2,4,2,3,3,4,Mujer,6,8
Suj_037,Respuestas de formulario 3,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,1,3,3,2,4,1,5,5,1,5,1,5,1,5,1,5,Mujer,4,3
Suj_038,Respuestas de formulario 3,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Mujer,4,4
Suj_039,Respuestas de formulario 3,No espero ningún efecto,No espero ningún efecto,La opción 1 incrementa la posibilidad de cooperación,3,2,2,2,4,4,5,5,1,5,4,5,3,4,5,5,Mujer,4,3
Suj_040,Respuestas de formulario 4,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,4,4,1,2,4,4,4,2,3,1,5,2,4,3,1,1,Hombre,6,7
Suj_041,Respuestas de formulario 4,No espero ningún efecto,No espero ningún efecto,No espero ningún efecto,3,4,2,2,4,3,5,5,1,4,1,5,1,5,1,5,Mujer,1,3
Suj_042,Respuestas de formulario 4,La Opción 1 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,5,4,1,2,4,5,4,4,1,4,3,4,4,4,2,4,Hombre,5,4
Suj_043,Respuestas de formulario 4,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,2,4,2,3,4,3,2,5,1,5,3,5,3,3,2,5,Hombre,5,4
Suj_044,Respuestas de formulario 4,La Opción 1 incrementa la probabilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,No espero ningún efecto,3,5,2,1,4,4,3,5,1,5,1,5,1,3,1,5,Mujer,4,5
Suj_045,Respuestas de formulario 4,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,3,3,2,4,3,3,2,5,1,2,5,3,5,3,2,4,Mujer,5,5
Suj_046,Respuestas de formulario 4,No espero ningún efecto,No espero ningún efecto,No espero ningún efecto,4,4,2,2,4,3,1,4,1,4,1,5,1,5,1,4,Mujer,2,7
Suj_047,Respuestas de formulario 4,La Opción 2 incrementa la probabilidad de cooperación,No espero ningún efecto,No espero ningún efecto,4,3,1,1,4,4,3,4,2,4,4,4,2,4,2,4,Mujer,5,6
Suj_048,Respuestas de formulario 4,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,3,4,1,1,4,5,1,5,1,5,1,5,1,5,1,3,Mujer,4,5
Suj_049,Respuestas de formulario 5,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,1,2,2,2,4,4,1,4,2,5,3,4,2,4,1,5,Mujer,4,8
Suj_050,Respuestas de formulario 5,No espero ningún efecto,No espero ningún efecto,No espero ningún efecto,4,2,4,3,4,5,4,5,1,5,3,5,1,2,5,5,Hombre,1,6
Suj_051,Respuestas de formulario 5,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,4,4,1,1,5,5,1,1,1,1,5,1,3,1,3,3,Hombre,4,7
Suj_052,Respuestas de formulario 5,La Opción 1 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,4,3,3,1,5,4,3,4,1,5,3,4,3,4,1,3,Mujer,4,4
Suj_053,Respuestas de formulario 5,La Opción 1 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,2,2,1,2,4,4,1,5,1,5,2,5,1,5,1,5,Mujer,3,2
Suj_054,Respuestas de formulario 5,La Opción 1 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,5,4,1,1,5,5,1,3,3,4,4,2,1,4,1,4,Mujer,5,7
Suj_055,Respuestas de formulario 5,La Opción 1 incrementa la probabilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,Mujer,3,4
Suj_056,Respuestas de formulario 5,La Opción 1 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,1,4,5,5,3,4,3,5,3,3,4,4,1,5,4,5,Mujer,5,5
Suj_057,Respuestas de formulario 5,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,No espero ningún efecto,4,5,4,1,5,5,4,5,1,4,5,4,3,5,1,4,Hombre,6,8
Suj_058,Respuestas de formulario 5,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,5,3,2,1,4,4,1,3,2,4,4,4,3,5,1,3,Mujer,5,6
Suj_059,Respuestas de formulario 5,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,4,4,1,1,5,5,3,5,1,5,1,5,2,5,1,5,Hombre,2,6
Suj_060,Respuestas de formulario 5,La Opción 1 incrementa la probabilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,4,4,3,2,4,4,2,4,1,5,3,5,1,5,1,5,Hombre,3,5
Suj_061,Respuestas de formulario 5,La Opción 1 incrementa la probabilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,4,3,2,2,3,4,5,2,4,2,5,2,4,2,4,2,Mujer,6,7
Suj_062,Respuestas de formulario 6,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,4,3,2,3,5,2,2,4,1,2,4,5,4,3,2,3,Mujer,4,6
Suj_063,Respuestas de formulario 6,La Opción 1 incrementa la probabilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,No espero ningún efecto,3,4,2,3,3,1,1,2,1,1,3,1,1,1,1,2,Hombre,5,3
Suj_064,Respuestas de formulario 6,La Opción 1 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,No espero ningún efecto,2,4,2,3,4,3,3,2,5,2,3,2,5,2,3,4,Hombre,5,8
Suj_065,Respuestas de formulario 6,La Opción 1 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,3,4,3,2,3,3,2,3,3,3,4,3,3,3,3,3,Mujer,4,5
Suj_066,Respuestas de formulario 6,La Opción 1 incrementa la probabilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,3,5,2,1,5,5,1,3,1,2,3,4,1,1,1,1,Mujer,4,4
Suj_067,Respuestas de formulario 6,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,4,4,1,1,5,5,1,5,1,5,3,5,2,5,2,5,Hombre,3,6
Suj_068,Respuestas de formulario 6,La Opción 1 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,4,4,3,3,4,2,4,4,1,5,5,4,3,4,1,4,Hombre,5,7
Suj_069,Respuestas de formulario 6,La Opción 1 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,No espero ningún efecto,5,4,3,1,5,5,4,5,1,5,4,3,1,1,1,5,Mujer,4,4
Suj_070,Respuestas de formulario 6,La Opción 2 incrementa la probabilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,3,3,2,2,4,3,3,4,2,3,4,3,3,3,3,3,Mujer,6,6
Suj_071,Respuestas de formulario 6,La Opción 1 incrementa la probabilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,1,4,4,4,2,5,1,5,1,4,3,4,2,4,2,2,Mujer,5,5
Suj_072,Respuestas de formulario 6,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,5,4,1,1,5,3,3,4,1,4,4,5,1,5,1,5,Hombre,2,4
Suj_073,Respuestas de formulario 6,No espero ningún efecto,No espero ningún efecto,No espero ningún efecto,3,3,4,3,4,3,1,5,1,5,3,5,1,5,1,5,Mujer,2,5
Suj_074,Respuestas de formulario 6,No espero ningún efecto,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,3,2,4,3,4,4,1,3,1,4,5,5,1,5,1,5,Mujer,4,6
Suj_075,Respuestas de formulario 6,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,3,3,2,1,5,5,2,2,3,2,4,2,4,1,1,1,Mujer,7,5
Suj_076,Respuestas de formulario 7,La Opción 1 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,1,3,3,2,4,2,1,4,2,5,4,4,4,5,2,4,Mujer,4,6
Suj_077,Respuestas de formulario 7,La Opción 1 incrementa la probabilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,No espero ningún efecto,3,2,2,3,4,4,2,4,1,4,2,4,2,3,3,4,Mujer,4,9
Suj_078,Respuestas de formulario 7,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,5,4,2,1,5,4,3,5,1,5,3,4,3,5,1,4,Mujer,3,7
Suj_079,Respuestas de formulario 7,No espero ningún efecto,No espero ningún efecto,No espero ningún efecto,5,5,2,2,5,4,3,3,2,4,3,4,2,4,2,3,Mujer,4,7
Suj_080,Respuestas de formulario 7,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,3,4,3,4,4,2,2,5,1,5,3,5,1,5,1,4,Hombre,3,6
Suj_081,Respuestas de formulario 7,La Opción 1 incrementa la probabilidad de cooperación,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,4,4,2,3,4,3,1,5,1,5,1,5,1,5,1,5,Mujer,4,7
Suj_082,Respuestas de formulario 7,La Opción 1 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,3,4,1,1,5,4,1,5,1,5,3,4,4,5,1,2,Mujer,4,4
Suj_083,Respuestas de formulario 7,La Opción 1 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,2,3,3,3,4,3,1,5,1,5,1,5,1,5,1,5,Hombre,1,4
Suj_084,Respuestas de formulario 7,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,No espero ningún efecto,3,4,4,2,5,4,3,4,1,4,4,4,4,4,1,4,Mujer,4,6
Suj_085,Respuestas de formulario 7,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,2,3,3,4,3,3,4,5,1,5,3,5,3,5,1,5,Mujer,4,6
Suj_086,Respuestas de formulario 7,La Opción 1 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,3,5,1,1,3,4,5,3,3,2,4,4,4,2,1,1,Mujer,5,5
Suj_087,Respuestas de formulario 7,La Opción 1 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,3,4,2,2,4,3,1,5,1,5,3,5,1,5,1,5,Mujer,2,5
Suj_088,Respuestas de formulario 7,La Opción 1 incrementa la probabilidad de cooperación,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,5,5,2,1,4,5,3,2,4,5,5,3,5,5,1,5,Otro,4,6
Suj_089,Respuestas de formulario 8,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,4,5,2,1,5,5,3,2,3,3,5,3,3,3,2,4,Mujer,5,6
Suj_090,Respuestas de formulario 8,No espero ningún efecto,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,4,4,2,2,4,4,3,5,1,5,3,4,3,3,2,1,Hombre,5,6
Suj_091,Respuestas de formulario 8,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,3,3,3,2,4,4,4,5,1,5,3,4,1,3,2,4,Mujer,3,4
Suj_092,Respuestas de formulario 8,La Opción 1 incrementa la probabilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,2,2,3,3,2,3,1,5,2,5,3,5,1,5,1,5,Hombre,4,3
Suj_093,Respuestas de formulario 8,La Opción 1 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,3,4,2,1,5,5,3,5,3,4,2,4,2,2,3,5,Mujer,4,8
Suj_094,Respuestas de formulario 8,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,4,3,1,1,4,3,2,4,2,3,3,4,4,4,3,3,Mujer,4,6
Suj_095,Respuestas de formulario 8,La Opción 1 incrementa la probabilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,3,2,4,3,4,3,1,5,1,5,4,5,1,4,1,5,Mujer,2,4
Suj_096,Respuestas de formulario 8,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,4,4,3,3,5,4,4,3,3,4,5,3,4,4,3,2,Hombre,4,5
Suj_097,Respuestas de formulario 8,La Opción 1 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,4,4,2,2,4,4,1,4,1,4,4,3,1,2,3,3,Mujer,4,8
Suj_098,Respuestas de formulario 8,No espero ningún efecto,La opción 1 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,4,3,1,1,4,4,1,5,1,5,2,5,1,5,1,1,Mujer,5,6
Suj_099,Respuestas de formulario 8,La Opción 1 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,1,1,1,5,5,1,3,5,1,5,5,5,1,5,1,5,Mujer,7,7
Suj_100,Respuestas de formulario 8,No espero ningún efecto,No espero ningún efecto,La opción 1 incrementa la posibilidad de cooperación,4,4,3,2,4,4,2,4,2,4,4,4,3,3,2,3,Mujer,3,5
Suj_101,Respuestas de formulario 8,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,4,3,3,4,5,3,3,3,3,3,4,3,3,3,3,3,Hombre,4,7
Suj_102,Respuestas de formulario 8,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,5,5,1,1,5,5,1,5,1,5,1,5,1,5,1,5,No binario,2,5
Suj_103,Respuestas de formulario 8,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,4,3,2,1,5,5,1,4,1,4,1,5,2,5,1,5,Mujer,4,5
Suj_104,Respuestas de formulario 9,La Opción 1 incrementa la probabilidad de cooperación,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,5,4,5,4,4,4,1,4,1,5,5,5,1,5,1,5,Mujer,4,8
Suj_105,Respuestas de formulario 9,No espero ningún efecto,La opción 1 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,4,4,1,1,3,5,3,4,3,3,5,5,3,5,1,4,Mujer,1,3
Suj_106,Respuestas de formulario 9,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,3,4,1,1,4,5,1,3,1,3,3,4,1,4,2,3,Mujer,6,7
Suj_107,Respuestas de formulario 9,No espero ningún efecto,No espero ningún efecto,No espero ningún efecto,1,3,2,3,2,2,1,5,1,4,2,5,1,5,1,4,Mujer,4,7
Suj_108,Respuestas de formulario 9,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,2,3,2,3,4,3,4,3,3,3,4,4,5,4,2,2,No binario,3,5
Suj_109,Respuestas de formulario 9,No espero ningún efecto,No espero ningún efecto,No espero ningún efecto,4,2,1,1,4,4,2,3,2,3,4,4,3,3,2,3,Mujer,4,6
Suj_110,Respuestas de formulario 9,No espero ningún efecto,La opción 1 incrementa la posibilidad de cooperación,La opción 1 incrementa la posibilidad de cooperación,4,4,1,2,5,4,2,5,1,4,2,4,2,4,1,1,Mujer,2,5
Suj_111,Respuestas de formulario 9,No espero ningún efecto,No espero ningún efecto,No espero ningún efecto,5,4,1,1,5,5,1,4,1,4,3,4,2,2,2,2,Mujer,4,5
Suj_112,Respuestas de formulario 9,La Opción 2 incrementa la probabilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,5,5,1,1,5,5,5,4,4,2,5,4,4,1,1,1,Hombre,5,6
Suj_113,Respuestas de formulario 9,No espero ningún efecto,La opción 1 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,4,3,3,3,4,1,3,4,3,4,4,4,4,3,3,3,Mujer,5,6
Suj_114,Respuestas de formulario 9,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,La opción 2 incrementa la posibilidad de cooperación,1,1,4,4,2,1,5,3,1,2,5,4,4,3,1,2,Hombre,5,7
Suj_115,Respuestas de formulario 9,No espero ningún efecto,No espero ningún efecto,No espero ningún efecto,5,5,1,1,5,5,1,5,1,5,1,5,1,5,1,5,Mujer,2,6
Suj_116,Respuestas de formulario 10,No espero ningún efecto,La opción 2 incrementa la posibilidad de cooperación,No espero ningún efecto,4,4,2,2,4,4,1,2,1,2,1,3,1,5,1,2,Mujer,2,6
